Date,Return
7/27/2015,0.00320476
7/28/2015,0.002734821
7/29/2015,-0.016428539
7/30/2015,-0.006450539
7/31/2015,-0.010676942
8/1/2015,-0.010711332
8/2/2015,0.00359729
8/3/2015,-0.004907838
8/4/2015,0.014191374
8/5/2015,-0.011696312
8/6/2015,-0.011724739
8/7/2015,0.003618373
8/8/2015,-0.066484192
8/9/2015,0.015655346
8/10/2015,-0.002312508
8/11/2015,0.02236921
8/12/2015,-0.014830574
8/13/2015,-0.008619472
8/14/2015,0.006058793
8/15/2015,-0.015541245
8/16/2015,-0.01163829
8/17/2015,-0.002054008
8/18/2015,-0.181788291
8/19/2015,0.07392972
8/20/2015,0.03822943
8/21/2015,-0.011816468
8/22/2015,-0.009369266
8/23/2015,-0.009640145
8/24/2015,-0.077460175
8/25/2015,0.052799348
8/26/2015,0.019051574
8/27/2015,-0.004702616
8/28/2015,0.029483599
8/29/2015,-0.006983687
8/30/2015,-0.004434664
8/31/2015,0.005660922
9/1/2015,-0.008410985
9/2/2015,0.005098147
9/3/2015,-0.009163299
9/4/2015,0.013711438
9/5/2015,0.020499496
9/6/2015,0.020513232
9/7/2015,2.92019024621393e-05
9/8/2015,0.015676638
9/9/2015,-0.022326926
9/10/2015,0.001297428
9/11/2015,0.006834997
9/12/2015,-0.020315904
9/13/2015,-0.020052844
9/14/2015,0.000572655
9/15/2015,-0.001474117
9/16/2015,-0.00526694
9/17/2015,0.003138465
9/18/2015,0.013772284
9/19/2015,-0.00636124
9/20/2015,-0.001213819
9/21/2015,-0.017849414
9/22/2015,0.015558004
9/23/2015,-0.001452582
9/24/2015,0.018438192
9/25/2015,0.002622235
9/26/2015,-0.003419185
9/27/2015,-0.00675511
9/28/2015,0.027432019
9/29/2015,-0.010265875
9/30/2015,-0.002649064
10/1/2015,0.006307712
10/2/2015,-0.001077659
10/3/2015,0.00605579
10/4/2015,-0.001972911
10/5/2015,0.008914639
10/6/2015,0.023628992
10/7/2015,-0.012574054
10/8/2015,-0.002736947
10/9/2015,0.006714701
10/10/2015,0.004140493
10/11/2015,0.008610273
10/12/2015,-0.007051222
10/13/2015,0.017121321
10/14/2015,0.00994358
10/15/2015,0.009250439
10/16/2015,0.033615054
10/17/2015,0.029562356
10/18/2015,-0.033243455
10/19/2015,0.006856695
10/20/2015,0.022874542
10/21/2015,-0.011842106
10/22/2015,0.029109358
10/23/2015,0.00902476
10/24/2015,0.018654843
10/25/2015,0.007193227
10/26/2015,0.005710643
10/27/2015,0.029751164
10/28/2015,0.036863375
10/29/2015,0.030323222
10/30/2015,0.045116385
10/31/2015,-0.042220718
11/1/2015,0.035856888
11/2/2015,0.109878886
11/3/2015,0.116913852
11/4/2015,0.020192496
11/5/2015,-0.061251826
11/6/2015,-0.030759362
11/7/2015,0.032077318
11/8/2015,-0.033931679
11/9/2015,0.018450903
11/10/2015,-0.114233241
11/11/2015,-0.076405979
11/12/2015,0.087011842
11/13/2015,-0.004137244
11/14/2015,-0.011423759
11/15/2015,-0.038269123
11/16/2015,0.033061045
11/17/2015,0.013130684
11/18/2015,-0.001504049
11/19/2015,-0.02522792
11/20/2015,-0.012653676
11/21/2015,0.015231875
11/22/2015,-0.007313532
11/23/2015,-0.004591234
11/24/2015,-0.009286603
11/25/2015,0.025496347
11/26/2015,0.0745812
11/27/2015,0.015192075
11/28/2015,-0.001846097
11/29/2015,0.038930424
11/30/2015,0.016232441
12/1/2015,-0.039311375
12/2/2015,-0.009106494
12/3/2015,0.005175516
12/4/2015,0.00591898
12/5/2015,0.070944924
12/6/2015,-0.000426831
12/7/2015,0.017369642
12/8/2015,0.050632501
12/9/2015,0.004812748
12/10/2015,-0.004990826
12/11/2015,0.087751689
12/12/2015,-0.037485185
12/13/2015,-0.002855202
12/14/2015,0.02403892
12/15/2015,0.047590869
12/16/2015,-0.022322276
12/17/2015,0.002514678
12/18/2015,0.016527862
12/19/2015,-0.002791117
12/20/2015,-0.042474712
12/21/2015,-0.009139659
12/22/2015,-0.004712341
12/23/2015,0.013351773
12/24/2015,0.028444747
12/25/2015,0.001468246
12/26/2015,-0.084228628
12/27/2015,0.013298244
12/28/2015,-0.001286605
12/29/2015,0.025348194
12/30/2015,-0.014695742
12/31/2015,0.009251772
1/1/2016,0.008748996
1/2/2016,-0.00206299
1/3/2016,-0.007906557
1/4/2016,0.007162647
1/5/2016,-0.002611488
1/6/2016,-0.006609363
1/7/2016,0.067449674
1/8/2016,-0.010518533
1/9/2016,-0.01239772
1/10/2016,0.000848962
1/11/2016,0.000975492
1/12/2016,-0.028405912
1/13/2016,-0.007617802
1/14/2016,-0.004775997
1/15/2016,-0.153321139
1/16/2016,0.06369213
1/17/2016,-0.013513582
1/18/2016,0.012736073
1/19/2016,-0.018129113
1/20/2016,0.105435041
1/21/2016,-0.023720385
1/22/2016,-0.067688427
1/23/2016,0.013069536
1/24/2016,0.039949344
1/25/2016,-0.027905221
1/26/2016,0.001090053
1/27/2016,0.007188443
1/28/2016,-0.037174746
1/29/2016,-0.002143113
1/30/2016,-0.003212326
1/31/2016,-0.025083625
2/1/2016,0.011630654
2/2/2016,0.003731339
2/3/2016,-0.012015001
2/4/2016,0.053101884
2/5/2016,-0.007815785
2/6/2016,-0.02593981
2/7/2016,0.000260256
2/8/2016,-0.008424949
2/9/2016,0.006913969
2/10/2016,0.014945643
2/11/2016,-0.005227304
2/12/2016,0.012140025
2/13/2016,0.019770274
2/14/2016,0.039223259
2/15/2016,-0.017299839
2/16/2016,0.018249082
2/17/2016,0.021679127
2/18/2016,0.014534411
2/19/2016,-0.003759668
2/20/2016,0.038924861
2/21/2016,0.003737734
2/22/2016,-0.002392942
2/23/2016,-0.038862528
2/24/2016,0.010027652
2/25/2016,-0.000967115
2/26/2016,0.017920408
2/27/2016,0.000849248
2/28/2016,0.002277323
2/29/2016,0.009672329
3/1/2016,-0.005880792
3/2/2016,-0.025588104
3/3/2016,-0.005514324
3/4/2016,-0.02540491
3/5/2016,-0.025232427
3/6/2016,0.017817094
3/7/2016,0.016222468
3/8/2016,-0.000842413
3/9/2016,0.002145074
3/10/2016,0.0054742
3/11/2016,0.010929397
3/12/2016,-0.023870638
3/13/2016,0.005930193
3/14/2016,0.00573095
3/15/2016,0.000941313
3/16/2016,0.000434229
3/17/2016,0.008656884
3/18/2016,-0.026325357
3/19/2016,0.002187768
3/20/2016,0.008066885
3/21/2016,-0.001082762
3/22/2016,0.011570049
3/23/2016,-0.000114818
3/24/2016,-0.00393974
3/25/2016,0.001880405
3/26/2016,0.001840958
3/27/2016,0.021103272
3/28/2016,-0.005937757
3/29/2016,-0.018185839
3/30/2016,-0.004081432
3/31/2016,0.00461167
4/1/2016,0.002953928
4/2/2016,0.006969553
4/3/2016,7.36703481059031e-05
4/4/2016,0.001282973
4/5/2016,0.006136043
4/6/2016,-0.001455096
4/7/2016,-0.001577654
4/8/2016,-0.00566771
4/9/2016,-0.002231451
4/10/2016,0.005133353
4/11/2016,0.002179992
4/12/2016,0.00640736
4/13/2016,-0.003424337
4/14/2016,0.001293274
4/15/2016,0.012800448
4/16/2016,0.001998958
4/17/2016,-0.007369277
4/18/2016,0.002789002
4/19/2016,0.016141261
4/20/2016,0.013501454
4/21/2016,0.018206118
4/22/2016,-0.008206015
4/23/2016,0.010196626
4/24/2016,0.018372885
4/25/2016,0.006260977
4/26/2016,0.010105617
4/27/2016,-0.045918222
4/28/2016,0.009723636
4/29/2016,0.013554231
4/30/2016,-0.014895708
5/1/2016,0.007934116
5/2/2016,-0.015946874
5/3/2016,0.0126723
5/4/2016,-0.007954628
5/5/2016,0.002807178
5/6/2016,0.025954478
5/7/2016,-0.002321539
5/8/2016,2.61558698158026e-05
5/9/2016,0.004219836
5/10/2016,-0.020821643
5/11/2016,0.004065265
5/12/2016,0.004501587
5/13/2016,0.001987884
5/14/2016,2.14313531965438e-06
5/15/2016,0.004163098
5/16/2016,-0.007441514
5/17/2016,-0.000836715
5/18/2016,0.001842287
5/19/2016,-0.034983122
5/20/2016,0.009028637
5/21/2016,0.001156587
5/22/2016,-0.008720882
5/23/2016,0.010998743
5/24/2016,0.004111152
5/25/2016,0.008112479
5/26/2016,0.008418621
5/27/2016,0.044289138
5/28/2016,0.119493753
5/29/2016,-0.00718249
5/30/2016,0.014501263
5/31/2016,-0.004641683
6/1/2016,0.010414269
6/2/2016,0.001959327
6/3/2016,0.058036451
6/4/2016,0.006207058
6/5/2016,0.003928573
6/6/2016,0.018365948
6/7/2016,-0.015268041
6/8/2016,0.008754875
6/9/2016,-0.012060646
6/10/2016,0.004942251
6/11/2016,0.050664139
6/12/2016,0.10887435
6/13/2016,0.046957092
6/14/2016,-0.026714363
6/15/2016,0.012996654
6/16/2016,0.103444488
6/17/2016,-0.022704953
6/18/2016,0.009771539
6/19/2016,0.009989086
6/20/2016,-0.03476781
6/21/2016,-0.095729172
6/22/2016,-0.105806256
6/23/2016,0.046737482
6/24/2016,0.06622363
6/25/2016,-0.000264581
6/26/2016,-0.053758451
6/27/2016,0.041165202
6/28/2016,-0.012626832
6/29/2016,-0.010990651
6/30/2016,0.052269858
7/1/2016,0.004394598
7/2/2016,0.040523683
7/3/2016,-0.064001556
7/4/2016,0.037952561
7/5/2016,-0.0190664
7/6/2016,0.009996584
7/7/2016,-0.054285102
7/8/2016,0.04052847
7/9/2016,-0.023349514
7/10/2016,-0.002457964
7/11/2016,-0.002619485
7/12/2016,0.026081671
7/13/2016,-0.015172662
7/14/2016,0.005515908
7/15/2016,0.007866852
7/16/2016,-0.003751161
7/17/2016,0.028288269
7/18/2016,-0.009350037
7/19/2016,-0.000359534
7/20/2016,-0.010669342
7/21/2016,-0.001010949
7/22/2016,-0.021643226
7/23/2016,0.007588176
7/24/2016,0.008739059
7/25/2016,-0.010869729
7/26/2016,-0.003536155
7/27/2016,0.003939945
7/28/2016,0.001043755
7/29/2016,0.002987674
7/30/2016,-0.002960473
7/31/2016,-0.046356928
8/1/2016,-0.029469532
8/2/2016,-0.096997632
8/3/2016,0.034504402
8/4/2016,0.021071627
8/5/2016,-0.005613061
8/6/2016,0.022146143
8/7/2016,0.008356875
8/8/2016,-0.002760273
8/9/2016,-0.005503711
8/10/2016,0.007318806
8/11/2016,-0.005038029
8/12/2016,-0.002649671
8/13/2016,-0.003354571
8/14/2016,-0.025811646
8/15/2016,-0.005667283
8/16/2016,0.017980107
8/17/2016,-0.007313365
8/18/2016,0.001922469
8/19/2016,0.002284469
8/20/2016,0.010539785
8/21/2016,-0.000668798
8/22/2016,0.00936682
8/23/2016,-0.005688957
8/24/2016,-0.005541461
8/25/2016,-0.004172864
8/26/2016,0.003271274
8/27/2016,-0.016741073
8/28/2016,0.006956727
8/29/2016,0.000339786
8/30/2016,0.005915267
8/31/2016,-0.003516875
9/1/2016,-0.005506795
9/2/2016,0.005650868
9/3/2016,0.039397968
9/4/2016,0.017421913
9/5/2016,-0.00335825
9/6/2016,0.006340274
9/7/2016,0.006729669
9/8/2016,0.019155622
9/9/2016,-0.005516315
9/10/2016,0.001040279
9/11/2016,-0.026928206
9/12/2016,0.00251185
9/13/2016,0.001640869
9/14/2016,0.00236851
9/15/2016,-0.005778752
9/16/2016,-0.00029977
9/17/2016,-0.001629419
9/18/2016,0.006419335
9/19/2016,-0.00106093
9/20/2016,-0.001501867
9/21/2016,-0.018350821
9/22/2016,-0.001425127
9/23/2016,0.01097439
9/24/2016,-0.000359928
9/25/2016,-0.002985291
9/26/2016,0.012011866
9/27/2016,-0.003086976
9/28/2016,-0.002372268
9/29/2016,0.001595702
9/30/2016,0.006673335
10/1/2016,0.006966938
10/2/2016,-0.005034248
10/3/2016,0.002031401
10/4/2016,-0.003151302
10/5/2016,0.003780714
10/6/2016,0.000832654
10/7/2016,0.006688149
10/8/2016,0.003219789
10/9/2016,-0.003805406
10/10/2016,0.00363518
10/11/2016,0.035667555
10/12/2016,-0.007612257
10/13/2016,0.000933671
10/14/2016,0.005640796
10/15/2016,-0.002704644
10/16/2016,0.004673928
10/17/2016,-0.003799674
10/18/2016,-0.00192895
10/19/2016,-0.011662177
10/20/2016,0.00053444
10/21/2016,0.003124335
10/22/2016,0.038661379
10/23/2016,-0.000339304
10/24/2016,-0.005037504
10/25/2016,0.005853862
10/26/2016,0.031503013
10/27/2016,0.014755879
10/28/2016,0.001943902
10/29/2016,0.036000822
10/30/2016,-0.017656208
10/31/2016,-0.001270943
11/1/2016,0.04111583
11/2/2016,0.015122027
11/3/2016,-0.070365724
11/4/2016,0.021104941
11/5/2016,0.000260289
11/6/2016,0.011520806
11/7/2016,-0.011793018
11/8/2016,0.009553044
11/9/2016,0.018912482
11/10/2016,-0.01069999
11/11/2016,0.001225678
11/12/2016,-0.015852624
11/13/2016,-0.004287629
11/14/2016,0.004259057
11/15/2016,0.009358618
11/16/2016,0.045781491
11/17/2016,-0.00432816
11/18/2016,0.014316278
11/19/2016,4.12539612535401e-05
11/20/2016,-0.027394342
11/21/2016,0.011247185
11/22/2016,0.016366631
11/23/2016,-0.008987846
11/24/2016,-0.005781665
11/25/2016,0.001837101
11/26/2016,-0.008450046
11/27/2016,-0.004551438
11/28/2016,0.005160976
11/29/2016,-0.000284018
11/30/2016,0.013712507
12/1/2016,0.014862736
12/2/2016,0.027973983
12/3/2016,-0.008726773
12/4/2016,0.00352326
12/5/2016,-0.019605305
12/6/2016,0.007280858
12/7/2016,0.00511371
12/8/2016,0.003486352
12/9/2016,0.002573927
12/10/2016,0.002401698
12/11/2016,-0.006349972
12/12/2016,0.013453995
12/13/2016,0.000601286
12/14/2016,0.001185037
12/15/2016,-0.004341763
12/16/2016,0.008763751
12/17/2016,0.007544839
12/18/2016,-0.000378021
12/19/2016,0.002762653
12/20/2016,0.010296257
12/21/2016,0.041710615
12/22/2016,0.036269521
12/23/2016,0.066444621
12/24/2016,-0.025121897
12/25/2016,-0.002936108
12/26/2016,0.012750746
12/27/2016,0.02819274
12/28/2016,0.045781305
12/29/2016,-0.002483819
12/30/2016,-0.01259278
12/31/2016,0.002606019
1/1/2017,0.035883043
1/2/2017,0.02346429
1/3/2017,0.021619737
1/4/2017,0.106232773
1/5/2017,-0.122409549
1/6/2017,-0.109711081
1/7/2017,0.007076065
1/8/2017,0.002876949
1/9/2017,-0.009186766
1/10/2017,0.005373131
1/11/2017,-0.1431365
1/12/2017,0.03481417
1/13/2017,0.023793757
1/14/2017,-0.006762293
1/15/2017,0.004137264
1/16/2017,0.011847222
1/17/2017,0.091883185
1/18/2017,-0.023481788
1/19/2017,0.014047783
1/20/2017,-0.0045013
1/21/2017,0.029901925
1/22/2017,0.003128668
1/23/2017,-0.003959183
1/24/2017,-0.030754226
1/25/2017,0.009919468
1/26/2017,0.017796183
1/27/2017,0.002358364
1/28/2017,0.002000573
1/29/2017,-0.00227222
1/30/2017,0.000963623
1/31/2017,0.054348081
2/1/2017,0.019187899
2/2/2017,0.023029775
2/3/2017,0.01789884
2/4/2017,0.012612743
2/5/2017,-0.014919991
2/6/2017,0.010522377
2/7/2017,0.022347397
2/8/2017,0.00162055
2/9/2017,-0.064611883
2/10/2017,-0.005741233
2/11/2017,0.015956727
2/12/2017,-0.005245639
2/13/2017,-0.008546
2/14/2017,0.014039339
2/15/2017,0.002916722
2/16/2017,0.019811769
2/17/2017,0.018268727
2/18/2017,0.007847453
2/19/2017,-0.006211992
2/20/2017,0.0306431
2/21/2017,0.032704373
2/22/2017,0.00191867
2/23/2017,0.04410083
2/24/2017,0.005965513
2/25/2017,-0.02542438
2/26/2017,0.018673928
2/27/2017,0.012675953
2/28/2017,0
3/1/2017,0.036043315
3/2/2017,0.023321071
3/3/2017,0.019168496
3/4/2017,-0.01556088
3/5/2017,0.009536685
3/6/2017,0.004506251
3/7/2017,-0.038724668
3/8/2017,-0.060104318
3/9/2017,0.033469557
3/10/2017,-0.060387568
3/11/2017,0.052931789
3/12/2017,0.038738636
3/13/2017,0.008629615
3/14/2017,0.006558832
3/15/2017,0.007749988
3/16/2017,-0.049455372
3/17/2017,-0.073732393
3/18/2017,-0.114895967
3/19/2017,0.064613714
3/20/2017,0.01687018
3/21/2017,0.062899045
3/22/2017,-0.063719298
3/23/2017,-0.010055902
3/24/2017,-0.09731458
3/25/2017,0.037608767
3/26/2017,-0.006223424
3/27/2017,0.081765803
3/28/2017,0.001319606
3/29/2017,-0.006856757
3/30/2017,-0.013019527
3/31/2017,0.044191989
4/1/2017,0.008126555
4/2/2017,0.020055571
4/3/2017,0.037780028
4/4/2017,-0.009232353
4/5/2017,-0.007474053
4/6/2017,0.051476754
4/7/2017,-0.00488723
4/8/2017,-0.000807268
4/9/2017,0.010136523
4/10/2017,-0.000622956
4/11/2017,0.015061539
4/12/2017,-0.003850603
4/13/2017,-0.025900319
4/14/2017,-0.001488087
4/15/2017,0.004265362
4/16/2017,0.008886775
4/17/2017,0.009273584
4/18/2017,0.014875501
4/19/2017,-0.001138928
4/20/2017,0.015525136
4/21/2017,-0.00571965
4/22/2017,0.007904678
4/23/2017,-0.019891046
4/24/2017,0.035569673
4/25/2017,0.0122705
4/26/2017,0.012319312
4/27/2017,0.028608694
4/28/2017,-0.000948601
4/29/2017,0.004033528
4/30/2017,0.019745932
5/1/2017,0.054685442
5/2/2017,0.02196115
5/3/2017,0.025653571
5/4/2017,0.03193101
5/5/2017,0.011562888
5/6/2017,0.015011796
5/7/2017,0.011344003
5/8/2017,0.079313099
5/9/2017,0.018574294
5/10/2017,0.018098863
5/11/2017,0.034379111
5/12/2017,-0.067257372
5/13/2017,0.046785856
5/14/2017,0.002216177
5/15/2017,-0.038962679
5/16/2017,-0.002289481
5/17/2017,0.060330374
5/18/2017,0.026948143
5/19/2017,0.052450129
5/20/2017,0.048809948
5/21/2017,-0.020880416
5/22/2017,0.064765802
5/23/2017,0.067645176
5/24/2017,0.053102445
5/25/2017,-0.056743186
5/26/2017,-0.044494989
5/27/2017,-0.074259193
5/28/2017,0.057350422
5/29/2017,0.046298384
5/30/2017,-0.035529251
5/31/2017,0.050995851
6/1/2017,0.053126944
6/2/2017,0.033502571
6/3/2017,0.010769343
6/4/2017,-0.001407374
6/5/2017,0.069670873
6/6/2017,0.065650302
6/7/2017,-0.045766988
6/8/2017,0.026887227
6/9/2017,0.006483394
6/10/2017,0.043876854
6/11/2017,0.003528212
6/12/2017,-0.100902338
6/13/2017,0.021578242
6/14/2017,-0.077529757
6/15/2017,-0.016673531
6/16/2017,0.021902303
6/17/2017,0.054523149
6/18/2017,-0.040510056
6/19/2017,0.016210894
6/20/2017,0.051046469
6/21/2017,-0.012010457
6/22/2017,0.006065157
6/23/2017,0.014600375
6/24/2017,-0.04961545
6/25/2017,-0.00740212
6/26/2017,-0.042851447
6/27/2017,0.029857371
6/28/2017,0.00875241
6/29/2017,-0.013775869
6/30/2017,-0.023029779
7/1/2017,-0.018659018
7/2/2017,0.029541361
7/3/2017,0.022976572
7/4/2017,0.014656378
7/5/2017,0.000134568
7/6/2017,0.002525017
7/7/2017,-0.034463514
7/8/2017,0.020915954
7/9/2017,-0.020572987
7/10/2017,-0.057924702
7/11/2017,-0.014655064
7/12/2017,0.026114428
7/13/2017,-0.017066659
7/14/2017,-0.052826591
7/15/2017,-0.104990773
7/16/2017,-0.034539707
7/17/2017,0.154724261
7/18/2017,0.040598442
7/19/2017,-0.019599959
7/20/2017,0.23936087
7/21/2017,-0.053180041
